Demand,Solar
0.81434,0.15597
0.816,0.38158
0.80789,0.6185
0.80149,0.78157
0.77766,0.81421
0.75805,0.83023
0.74296,0.80982
0.73069,0.83009
0.71039,0.83151
0.69369,0.81559
0.68163,0.7852
0.67871,0.88237
0.67855,0.87688
0.67618,0.8373
0.68252,0.89132
0.68746,0.86152
0.70688,0.86779
0.72648,0.86046
0.75757,0.89366
0.78326,0.95255
0.82237,0.97553
0.86259,0.91468
0.90111,0.75882
0.92645,0.51677
0.95427,0.2592
0.96863,0.070298
0.98522,0.01383
0.99942,0.014868
0.99085,0.014843
0.98202,0.0201
0.96216,0.015884
0.93798,0.013649
0.90342,0.0085356
0.88142,0.0038365
0.86029,0
0.89936,0.0040007
0.88047,-0.00076954
0.86193,-0.0010261
0.8432,-0.0010993
0.83026,-0.0010235
0.817,-0.0010711
0.80855,-0.0010759
0.80187,-0.0011165
0.79937,-0.0011178
0.79863,-0.0013026
0.804,-0.0013025
0.80713,-0.001489
0.80367,0.013912
0.79173,0.16363
0.78634,0.44673
0.77039,0.63604
0.75992,0.76595
0.74416,0.82213
0.72996,0.96622
0.71777,0.94932
0.71028,0.9755
0.69434,0.97101
0.68248,0.95536
0.67332,0.90311
0.66752,0.87071
0.65426,0.8418
0.64385,0.81428
0.63688,0.8363
0.62753,0.81081
0.63965,0.81534
0.65492,0.87335
0.68543,0.92043
0.71173,0.89675
0.7519,0.99889
0.78665,0.87307
0.83489,0.77852
0.8782,0.55555
0.91737,0.28746
0.94972,0.093782
0.97469,0.011511
0.99846,0.011874
0.99514,0.010536
0.98839,0.00252
0.9634,0.0027849
0.9338,0.0018354
0.90414,0.0017827
0.87437,0.0026989
0.85316,0
0.77371,0.0022816
0.76224,-0.0027354
0.74908,-0.0027394
0.73709,-0.0027371
0.73071,-0.0027357
0.72327,-0.0027469
0.72319,-0.002738
0.72443,-0.002738
0.73547,-0.0028186
0.74723,-0.0029179
0.77569,-0.0029191
0.80411,-0.0030216
0.83538,0.014545
0.8541,0.18131
0.87369,0.48555
0.86388,0.76649
0.85707,0.92789
0.84169,0.98301
0.82461,0.99249
